task,variant,threads_P,pi,abs_error,time_ms,extra
2.1,naive_race,1,3.141592653590,6.333e-13,,
2.1,naive_race,2,1.713295534706,1.428e+00,,
2.1,naive_race,4,0.725004795529,2.417e+00,,
2.1,naive_race,8,0.433994491582,2.708e+00,,
2.2,critical,2,3.141592653590,7.283e-14,47.49,overhead_pct=129.9
2.2,critical,4,3.141592653590,2.620e-14,68.65,overhead_pct=232.3
2.2,serial,1,3.141592653590,2.887e-14,20.66,baseline
2.3,reduction,1,3.141592653590,4.441e-16,1483.4,S=1.00 E=100.0% best=1466.6
2.3,reduction,2,3.141592653590,4.441e-16,809.9,S=1.83 E=91.6% best=795.8
2.3,reduction,4,3.141592653590,4.441e-16,1047.1,S=1.42 E=35.4% best=769.9
2.3,reduction,8,3.141592653590,4.441e-16,768.7,S=1.93 E=24.1% best=753.9
2.3,reduction,16,3.141592653590,4.441e-16,764.9,S=1.94 E=12.1% best=752.2
