schedule,threads_P,chunk,run1_ms,run2_ms,run3_ms,mean_ms,imbalance
static,2,N/P,536.2,564.6,528.3,543.0,0.011
static,4,N/P,595.5,525.3,661.6,594.1,1.974
static,8,N/P,924.6,936.0,814.6,891.7,3.262
static,16,N/P,810.4,555.2,551.1,638.9,4.022
dynamic,2,1,551.4,529.6,538.7,539.9,0.047
dynamic,2,16,534.2,538.1,526.0,532.8,0.010
dynamic,2,64,555.6,543.8,569.4,556.3,0.085
dynamic,2,256,628.3,629.9,626.0,628.1,0.431
dynamic,4,1,528.8,541.3,528.6,532.9,0.418
dynamic,4,16,565.3,869.9,973.5,802.9,0.037
dynamic,4,64,831.3,842.1,556.7,743.4,0.659
dynamic,4,256,646.3,634.2,631.8,637.4,2.395
dynamic,8,1,552.5,530.2,539.7,540.8,0.149
dynamic,8,16,532.8,547.5,531.6,537.3,0.344
dynamic,8,64,571.0,553.5,545.2,556.6,1.883
dynamic,8,256,632.3,632.6,636.0,633.6,4.828
dynamic,16,1,537.0,732.3,849.4,706.2,0.288
dynamic,16,16,946.8,840.8,761.5,849.7,0.335
dynamic,16,64,569.2,534.4,561.8,555.1,3.956
dynamic,16,256,633.2,652.0,624.9,636.7,9.656
