section,key,run1_cold,run2,run3,avg,extra
baseline,T_seq,5.1302,4.8117,4.9018,4.8567,max_steps=688 checksum=65992696
scaling,k=1,5.8836,5.4684,6.2749,5.8717,S_emp=0.827 S_theo=1.000 delta=0.173 checksum=65992696
scaling,k=2,4.1003,4.0774,5.5089,4.7931,S_emp=1.013 S_theo=1.013 delta=0.000 checksum=65992696
scaling,k=4,4.0169,3.9648,5.3508,4.6578,S_emp=1.043 S_theo=1.020 delta=-0.023 checksum=65992696
scaling,k=8,3.9863,4.0334,5.0269,4.5302,S_emp=1.072 S_theo=1.023 delta=-0.049 checksum=65992696
scaling,k=16,4.3247,3.9456,4.6832,4.3144,S_emp=1.126 S_theo=1.025 delta=-0.101 checksum=65992696
amdahl,p,,,,0.0262,S_max=1.027
false_sharing,naive,4.3569,3.5811,3.5393,3.5602,throughput=3.67M
false_sharing,padded,5.2749,3.9376,3.7942,3.8659,throughput=3.38M penalty=0.92 hits=10534575
schedule,static (default),3.7842,4.1739,3.3423,3.7581,hits=10534575
schedule,static, 1000,3.9667,5.5672,4.1416,4.8544,hits=10534575
schedule,dynamic, 100,5.7767,7.1722,5.8011,6.4866,hits=10534575
schedule,dynamic, 10000,7.2636,5.7963,6.9835,6.3899,hits=10534575
schedule,guided,5.7743,6.3167,6.5627,6.4397,hits=10534575
